pattern1	pattern2	instance1	instance2	similarity scores	worker IDs
check	need to check	parent check their children works	parent need to check their children works	5 4 2 5 3	41 0 51 2 21
be the best known of	be the cheapest of	Histamine be the best known of these chemicals	Histamine be the cheapest of these chemicals	2 1 2 3 1	6 7 50 8 9
know about	thank	No one know about Joseph	No one thank Joseph	3 3 2 5 1	38 42 18 19 20
think about	understand	many people think about food	many people understand food	3 3 5 5 3	5 6 7 8 9
be available at	be ordered at	No tickets be available at the door	No tickets be ordered at the door	1 4 6 6 5	43 35 13 36 45
move up	run up	The effects move up the food chain	The effects run up the food chain	5 6 6 6 5	14 11 50 9 48
own a number of	own a lot of	Time Warner own a number of cable networks	Time Warner own a lot of cable networks	5 6 6 6 7	39 7 50 8 9
take a road trip to	have relative in	the crew take a road trip to Bristol	the crew have relative in Bristol	1 6 1 3 5	43 44 35 6 45
be unique in	win the nobel prize in	The organization be unique in the industry	The organization win the nobel prize in the industry	1 2 2 2 2	41 42 22 21 37
eat	devour	the big fish eat the little fish	the big fish devour the little fish	3 6 5 6 6	38 47 42 18 19
get out of	be released from	the bill get out of committee	the bill be released from committee	1 6 2 6 5	16 42 37 10 49
be equivalent to	be equivalent to	A 2.0 be equivalent to a C average	a C average be equivalent to A 2.0	3 4 5 5 6	38 47 18 19 20
be paved with	be laid with	the courtyard be paved with marble	the courtyard be laid with marble	6 6 6 6 6	16 31 37 32 10
be a rite of	be the month of	male circumcision be a rite of passage	male circumcision be the month of passage	4 1 6 2 5	43 35 13 36 45
dont talk about	want to think about	Women dont talk about these things	Women want to think about these things	3 1 2 2 1	38 16 42 18 20
try to be	wanna be	companies try to be good citizens	companies wanna be good citizens	5 5 4 6 5	0 1 2 3 4
do a lot of	do a bit of	an engineer do a lot of work	an engineer do a bit of work	2 3 5 5 2	41 51 22 37 20
witness	be a victim of	A police officer witness the incident	A police officer be a victim of the incident	6 6 2 1 2	27 28 35 29 46
be deferred until	occur until	Student loans be deferred until graduation	Student loans occur until graduation	5 5 1 1 2	39 5 43 12 48
be born in	attend the university of	Thomas Gainsborough be born in Sudbury	Thomas Gainsborough attend the university of Sudbury	1 1 2 2 5	0 51 22 21 4
be incorporated in	be incorporated into	This page be incorporated in our news page	This page be incorporated into our news page	6 6 6 6 7	13 6 11 15 25
have a couple of	have a pair of	mine have a couple of scratches	mine have a pair of scratches	6 6 5 6 6	5 13 14 9 15
offer a master of	offer program in	The Department of Biology offer a master of science degree	The Department of Biology offer program in science degree	6 6 5 3 5	34 27 29 36 45
propagate	systematize	A program propagate itself	A program systematize itself	6 6 2 2 2	27 28 35 29 46
be into	be addicted to	your teen be into music	your teen be addicted to music	5 5 6 6 2	39 5 43 12 48
be beneficial for	be recommended for	Payday loans be beneficial for salaried individuals	Payday loans be recommended for salaried individuals	5 6 4 5 3	26 27 28 29 46
have a crush on	co-starred with	Mai have a crush on Andy	Mai co-starred with Andy	3 3 2 2 3	39 5 7 20 8
lie to	read to	Jacob lie to his blind father	Jacob read to his blind father	1 2 1 3 1	7 11 50 8 9
plop in	relax in	Crystal plop in her chair	Crystal relax in her chair	6 6 6 3 4	34 27 29 36 45
step into	step in	the vice president step into the Oval office	the vice president step in the Oval office	7 6 6 4 6	13 6 14 15 25
attend	be a 1998 graduate of	The family attend the Unitarian church	The family be a 1998 graduate of the Unitarian church	2 2 2 4 4	40 11 50 9 48
need to do a lot of	do this type of	Preachers need to do a lot of work	Preachers do this type of work	3 6 3 3 3	38 16 21 18 10
be surprised at	be pleased with	Scientists be surprised at the finding	Scientists be pleased with the finding	1 6 3 2 4	34 27 29 36 45
be received at	be picked up at	Our case be received at the NVC	Our case be picked up at the NVC	1 6 5 5 6	47 0 1 2 3
think for	fall silent for	Slim think for a while	Slim fall silent for a while	2 3 4 4 1	13 6 11 48 25
agree with	go along with	the general public agree with the decision	the general public go along with the decision	1 6 5 6 6	47 41 22 2 49
attend	study at	The family attend the Unitarian church	The family study at the Unitarian church	4 6 6 5 5	44 14 13 17 25
try to describe	write more about	Scientists try to describe the pattern	Scientists write more about the pattern	6 5 5 3 5	43 35 13 36 45
be entered into	be put into	Arizona be entered into the United States	Arizona be put into the United States	1 6 6 6 6	16 31 37 10 32
be a valued member of	be a valuable addition to	April be a valued member of the team	April be a valuable addition to the team	5 6 1 7 4	26 27 28 29 46
discuss the importance of	see a lack of	President Obama discuss the importance of faith	President Obama see a lack of faith	3 3 2 1 1	5 13 14 7 15
agree to join	be a valued member of	the Maharaja agree to join India	the Maharaja be a valued member of India	3 1 6 2 6	0 30 33 52 4
abandon	return to	the parties abandon the transaction	the parties return to the transaction	6 1 1 2 2	34 27 36 56 45
be aligned with	ally with	their interests be aligned with yours	their interests ally with yours	1 5 4 6 5	47 42 18 20 49
appreciate	mean a lot to	Customers appreciate the suggestion	the suggestion mean a lot to Customers	6 6 5 6 6	0 41 51 20 4
give to	provide for	donors give to candidates	donors provide for candidates	6 5 5 5 4	0 30 33 52 4
exist in	be present in	Ozone molecules exist in the air	Ozone molecules be present in the air	6 7 7 6 6	40 41 51 1 32
call for	urge	The contract call for the developers	The contract urge the developers	1 6 5 6 6	30 31 1 32 33
be given throughout	be scheduled during	Tests be given throughout the morning	Tests be scheduled during the morning	6 5 4 6 2	30 31 3 32 50
be gonna	want to	somebody be gonna die	somebody want to die	5 2 3 2 1	5 13 14 7 15
teach at	transfer to	Davis teach at Yale University	Davis transfer to Yale University	1 4 3 3 4	34 27 29 23 45
begin to write	write a series of	Noah begin to write poems	Noah write a series of poems	6 5 5 5 6	30 2 33 52 4
be advised for	be advised to take	genetic counseling be advised for couples	couples be advised to take genetic counseling	7 6 6 6 6	13 17 24 15 25
be defeated at	march to	the British forces be defeated at Yorktown	the British forces march to Yorktown	2 2 3 1 3	5 13 14 15 25
put down	finish	Russia put down a rebellion	Russia finish a rebellion	3 1 1 2 5	0 16 51 37 49
want to be in	get to be in	Ive want to be in the music business	Ive get to be in the music business	5 1 6 5 2	39 43 44 12 15
hold about	fit up to	the black 8-gigabyte iPhone 3G model hold about 2,000 songs	the black 8-gigabyte iPhone 3G model fit up to 2,000 songs	5 6 5 5 6	5 12 14 7 15
be something with	take some time for	the search engines be something with many variables	the search engines take some time for many variables	4 3 5 5 5	58 6 50 8 9
charge	require	the commodore 64 charge necessary monitors	the commodore 64 require necessary monitors	3 4 2 5 5	0 1 2 33 4
aim	outrage	The hunters aim their weapons	The hunters outrage their weapons	6 6 2 4 1	16 31 37 10 32
remember	tie the game in	Jews remember the Holocaust	Jews tie the game in the Holocaust	1 2 1 2 2	1 21 2 3 23
be important in	be vital in	Branding be important in a business	Branding be vital in a business	3 5 6 5 5	38 42 18 19 20
be returned to	be brought to	The unit be returned to the manufacturer	The unit be brought to the manufacturer	1 6 4 5 6	47 22 2 49 4
affect	spread to	decisions affect their lives	decisions spread to their lives	5 5 1 5 2	39 5 43 12 48
be designed in	be funded in	systems be designed in this manner	systems be funded in this manner	6 6 1 2 2	34 27 29 46 36
go into	be put in	3 guys go into a bar	3 guys be put in a bar	6 6 2 6 1	16 31 37 10 32
use a range of	use all kind of	this proposal use a range of methods	this proposal use all kind of methods	6 5 6 4 5	0 41 51 20 4
pass	adopt	the guests pass the parcel	the guests adopt the parcel	3 2 2 1 6	1 2 23 52 4
change the composition of	reduce the size of	events change the composition of the population	events reduce the size of the population	4 6 4 3 6	40 30 31 32 4
bother	clarify	the feelings of apprehension bother him	the feelings of apprehension clarify him	1 3 3 2 5	41 2 22 37 4
be persecuted in	seek refuge in	Christians be persecuted in this country	Christians seek refuge in this country	5 6 1 1 1	34 28 35 29 36
go out to	go over to	this traffic go out to the internet	this traffic go over to the internet	5 1 6 6 5	26 27 28 17 29
participate in	be involved in	students participate in a practicum	students be involved in a practicum	6 7 6 6 6	41 51 2 22 4
be given over	be purchased over	Most memo be given over the internet	Most memo be purchased over the internet	3 1 3 4 5	38 47 42 20 49
acquire one of	own some of	Disney acquire one of its competitors	Disney own some of its competitors	2 6 5 3 5	40 12 14 7 9
start on	run from	benefits start on the first of the month	benefits run from the first of the month	3 5 6 6 3	38 42 17 18 19
increase with	go up with	The risks increase with age	The risks go up with age	6 7 6 6 5	0 41 22 21 49
be uncommon for	be impossible for	Support groups be uncommon for this condition	Support groups be impossible for this condition	5 5 2 6 4	6 7 11 8 9
treat people like	be a bunch of	the associates treat people like customers	the associates be a bunch of customers	6 2 4 2 4	16 17 19 48 25
turn off	cut off	Your parent turn off comments	Your parent cut off comments	5 6 5 5 5	5 12 14 7 15
be taken	be held	This picture be taken last night	This picture be held last night	6 3 6 6 5	47 38 16 10 49
be chained to	hang from	Angel be chained to the bed	Angel hang from the bed	3 5 6 2 2	44 13 6 15 25
ban	confuse	teachers ban homework	teachers confuse homework	2 6 3 2 6	0 30 1 3 33
throw in	toss in	Team members throw in any order	Team members toss in any order	1 1 6 5 5	34 27 23 36 45
describe	discuss	The committee describe its recommendations	The committee discuss its recommendations	6 4 4 6 4	27 28 59 29 46
be on for	stay on for	the system be on for a long time	the system stay on for a long time	6 6 2 6 5	30 31 3 32 33
defend	criticize	Iran defend itself	Iran criticize itself	3 1 6 2 4	38 41 16 42 37
sign all of	copy one of	The United States sign all of these treaties	The United States copy one of these treaties	3 2 2 6 1	6 11 50 8 9
pump	extract	the mother pump gas	the mother extract gas	2 1 2 6 3	6 7 50 8 9
prove to be	be something of	the programme prove to be a great success	the programme be something of a great success	6 5 5 3 5	0 1 2 3 4
die for	lay down his life for	the Lord Jesus Christ die for the sins of the world	the Lord Jesus Christ lay down his life for the sins of the world	6 1 5 6 6	43 44 35 13 45
be sure of	have no idea of	Democrats be sure of the answer	Democrats have no idea of the answer	1 1 1 1 2	43 44 35 13 45
speak	be proficient in	some staff speak English	some staff be proficient in English	6 5 6 5 4	16 17 18 19 20
prefer	do like	Shrubs prefer full sun	Shrubs do like full sun	5 6 6 6 2	39 40 12 7 20
live with	be survived by	the child live with his father	the child be survived by his father	2 2 2 1 4	14 11 50 9 48
pronounce	classify	the children pronounce the name	the children classify the name	2 5 5 3 3	14 17 10 24 25
sign	issue	Johnson sign the Voting Rights Act	Johnson issue the Voting Rights Act	5 5 5 5 6	39 5 7 20 8
resonate with	make sense to	His stories resonate with adults	His stories make sense to adults	3 5 5 6 6	38 42 18 19 10
call my attention to	be upset over	A reader call my attention to a statement	A reader be upset over a statement	2 4 3 4 4	40 1 22 20 4
infiltrate	mitigate	a young man infiltrate the area	a young man mitigate the area	1 3 1 2 1	13 14 15 48 25
have a wide range of	have a variety of	The city have a wide range of clubs	The city have a variety of clubs	6 6 5 7 5	34 27 36 56 45
build	start	others build boats	others start boats	6 1 5 1 2	34 28 35 29 36
be pulled from	come from	the banner be pulled from our server	the banner come from our server	6 2 5 2 1	47 0 22 3 52
be piece of	be bit of	Cookies be piece of information	Cookies be bit of information	1 1 6 5 5	43 44 35 6 36
have one thing on	be a legend in	the Germans have one thing on their minds	the Germans be a legend in their minds	1 2 2 4 2	7 11 50 8 9
be open from	be open until	The museum be open from March	The museum be open until March	2 2 1 2 1	13 11 15 48 25
be piece of	be small piece of	Cookies be piece of information	Cookies be small piece of information	6 5 6 6 5	41 51 2 22 49
be all about	be about	Weight management be all about energy balance	Weight management be about energy balance	6 6 5 6 6	43 44 6 35 45
